name,age,season,tournament,club,apps,mins,shots (off target),shots (on target),shots (blocked),goals,outside_of_box_goals,unsuccessful_dribbles,successful_dribbles,unsuccesful_touches,dispossessed,aerial_won,aerial_lost,total_passes,accurate_long_pass,inaccurate_long_pass,accurate_short_pass,inaccurate_short_pass,accurate_crosses,inaccurate_crosses,long_key_pass,short_key_pass,assists
Michiel Kramer,24.0,2020,NE,ADODenHaag,13.0,680.0,0.3,0.3,0.1,0.2,undefined,undefined,0.2,1.2,0.6,2.6,2.1,9.2,0.2,undefined,5.6,3.4,9.2,0.2,0.1,0.2,undefined
Michiel Kramer,23.0,2019,NE,FCUtrecht,10.0,438.0,0.5,0.4,undefined,0.1,undefined,0.1,undefined,0.6,0.1,1.8,3.1,8.7,0.1,0.2,6.3,2.1,8.7,0.1,undefined,0.4,0.1
Michiel Kramer,22.0,2018,UCL,Feyenoord,2.0,84.0,undefined,0.5,0.5,undefined,undefined,undefined,undefined,0.5,0.5,2.5,3.0,11.0,0.5,undefined,8.0,2.5,11.0,0.5,undefined,1.0,undefined
Michiel Kramer,22.0,2018,NE,SpartaRotterdam,8.0,631.0,0.6,1.0,undefined,0.3,undefined,0.5,0.1,1.4,0.9,6.6,4.5,23.4,0.6,0.1,14.6,8.0,23.4,0.6,0.1,1.0,0.3
Michiel Kramer,22.0,2018,NE,Feyenoord,8.0,273.0,0.4,0.3,0.1,undefined,undefined,undefined,0.1,0.8,0.4,1.5,1.4,9.9,undefined,0.1,6.5,3.3,9.9,undefined,undefined,0.6,0.1
Michiel Kramer,21.0,2017,NE,Feyenoord,17.0,324.0,0.4,0.5,0.2,0.2,0.1,0.2,undefined,0.2,0.4,1.1,0.6,6.4,0.2,undefined,4.9,1.2,6.4,0.2,undefined,0.4,0.1
Michiel Kramer,21.0,2017,UEL,Feyenoord,4.0,50.0,0.3,undefined,undefined,undefined,undefined,undefined,undefined,0.3,0.3,1.0,1.3,4.3,undefined,undefined,2.5,1.8,4.3,undefined,undefined,undefined,undefined
Michiel Kramer,20.0,2016,NE,Feyenoord,30.0,2075.0,0.9,1.1,0.3,0.5,undefined,0.2,0.1,1.0,0.2,1.9,2.2,12.5,0.1,0.1,8.2,4.0,12.5,0.1,undefined,0.8,0.1
Michiel Kramer,19.0,2015,NE,ADODenHaag,32.0,2681.0,1.2,1.0,0.2,0.5,undefined,0.4,0.3,1.4,0.8,5.0,3.6,20.6,0.3,0.3,13.0,7.0,20.6,0.3,undefined,0.7,undefined
Michiel Kramer,18.0,2014,NE,ADODenHaag,26.0,1459.0,0.6,0.8,0.5,0.3,undefined,0.1,0.1,0.7,0.6,3.9,2.7,13.1,0.4,0.2,8.6,3.9,13.1,0.4,undefined,0.9,0.2
