district,poverty level (2016)
Mount Diablo Unified,10
Mount Pleasant Elementary,16
Mulberry Elementary,29.4
Mupu Elementary,19
Muroc Joint Unified,31.6
Napa Valley Unified,8
National Elementary,25.8
Needles Unified,26.2
Nevada City Elementary,11
Nevada Joint Union High,9.3
New Haven Unified,10.4
New Hope Elementary,23.6
New Jerusalem Elementary,10.8
Mountain Union Elementary,26.3
Newark Unified,9.1
Newcastle Elementary,5.6
Newhall Elementary,13.1
Newman-Crows Landing Unified,14.6
Newport-Mesa Unified,11.5
Nicasio Elementary,6
Norris Elementary,9.8
North County Joint Union Elementary,11.2
North Cow Creek Elementary,17.9
North Monterey County Unified,15.3
Norwalk-La Mirada Unified,16.3
Novato Unified,7.9
Nuestro Elementary,32.6
Nuview Union Elementary,21.5
Oak Grove Elementary,10.5
Oak Grove Union Elementary,5.5
Oak Park Unified,5.9
Oak Run Elementary,25
Oak Valley Union Elementary,29.1
Oak View Union Elementary,13
Oakland Unified,22
Oakley Union Elementary,9.3
Ocean View Elementary,12.4
Ocean View Elementary,16.8
Oceanside Unified,14.6
Ojai Unified,11.7
Old Adobe Union Elementary,9.5
Ontario-Montclair,27.5
Orange Center Elementary,47.4
Orange Unified,11.4
Orchard Elementary,9.8
Orcutt Union Elementary,12.8
Orick Elementary,46.2
Orinda Union Elementary,2.5
Oro Grande Elementary,32.4
Oroville City Elementary,27.3
Oroville Union High,21.4
Outside Creek Elementary,30.8
Owens Valley Unified,9.2
Oxnard Elementary,19.4
Oxnard Union High,14
Pacheco Union Elementary,20.2
Pacific Elementary,6.9
Pacific Grove Unified,6.4
Pacific Union Elementary,41.1
Pacific Union Elementary,20.6
Pajaro Valley Joint Unified,17.8
Palermo Union Elementary,31.9
Palm Springs Unified,30
Palmdale Elementary,27.3
Palo Alto Unified,5.2
Palo Verde Unified,21.9
Palo Verde Union Elementary,28.7
Palos Verdes Peninsula Unified,4.8
Panoche Elementary,20
Paradise Elementary,21.9
Paradise Unified,20
Paramount Unified,25.5
Parlier Unified,45.7
Pasadena Unified,17.3
Patterson Joint Unified,20.9
Peninsula Union Elementary,11.6
Perris Elementary,35.7
Perris Union High,20.2
Petaluma City Elementary,7.5
Petaluma Joint Union High,6.2
Piedmont City Unified,2.8
Pierce Joint Unified,18.7
Pine Ridge Elementary,11.6
Piner-Olivet Union Elementary,7.5
Pioneer Union Elementary,18.2
Pioneer Union Elementary,17.2
Pioneer Union Elementary,26.4
Pittsburg Unified,17.7
Pixley Union Elementary,38.7
Placentia-Yorba Linda Unified,8.9
Placer Hills Union Elementary,5.3
Placer Union High,6.5
Placerville Union Elementary,18
Plainsburg Union Elementary,23.8
Planada Elementary,30.1
Plaza Elementary,19.1
Pleasant Grove Joint Union Elementary,19.2
Pleasant Ridge Union Elementary,10.2
Pleasant Valley Elementary,7.7
Pleasant Valley Joint Union Elementary,15.8
Pleasant View Elementary,43.2
Plumas Unified,20.5
Plumas Lake Elementary,8.1
Point Arena Joint Union High,13.3
Pollock Pines Elementary,11.3
Pomona Unified,24.8
Pond Union Elementary,41.5
Pope Valley Union Elementary,5.3
